                    U.  S.  G E O L O G I C A L  S U R V E Y

                     E A R T H Q U A K E  D A T A  B A S E



 FILE CREATED:  Mon Jan 21 14:22:57 2008
 Circle Search   Earthquakes=      2592
 Circle Center Point Latitude:   62.499N  Longitude:   114.670W
 Radius:   20014.199 km
 Catalog Used: Preliminary Determination of Epicenters
 Date Range: Year:    2007  -   2007   Month: 01/Day: 01   Month: 12/Day: 31
 Magnitude Range:   5.0  -   9.0
 Depth Range:    0  -  900
 Data Selection: Historical & Preliminary Data


 CAT   YEAR   MO DA ORIG TIME   LAT    LONG  DEP  MAGNITUDE    DIST
                                                               km
                                                              

 PDE   2007   02 12 203330.58  47.71  154.32  10 5.10 mb GS    5515
 PDE   2007   02 13 005819.44  -4.77  -12.44  10 5.00 mb GS   11095
 PDE   2007   02 13 105658.38  -6.66  154.65  33 5.40 Mw CMT  10685
 PDE   2007   02 13 145643.48  -1.42  -77.78 174 5.60 Mw CMT   7728
 PDE   2007   02 13 183849.75  13.44  -91.06  44 5.00 Mw CMT   5755
 PDE   2007   02 13 192214.64  -0.44  124.19  84 5.50 mb GS   11588
 PDE   2007   02 13 200306.93  -5.67  127.31  10 5.30 Mw CMT  11967
 PDE   2007   02 14 012907.19 -29.59 -112.05  10 5.90 Mw S    10198
 PDE   2007   02 14 014658.90  46.54  155.26  10 5.40 mb GS    5575
 PDE   2007   02 14 024158.06  36.09  -34.09  10 5.10 Mw CMT   6054
 PDE   2007   02 14 033030.93  22.14  121.09  10 5.00 ML AP    9429
 PDE   2007   02 14 081009.32  33.83  142.35  38 5.10 mb GS    7353
 PDE   2007   02 14 112237.46   3.19  126.62  65 5.00 Mw CMT  11112
 PDE   2007   02 14 142147.60 -19.59  -69.82  53 5.60 Mw S     9903
 PDE   2007   02 14 193757.35  -5.34  -77.22  41 5.00 mb GS    8159
 PDE   2007   02 14 194958.70   0.43   97.31  16 5.70 Ms GS   12532
 PDE   2007   02 14 201157.53   5.21   94.26  30 5.30 mb GS   12107
 PDE   2007   02 14 204631.93   0.64   97.23   4 5.60 mb GS   12512
 PDE   2007   02 14 221258.55  43.52 -127.45  10 5.20 mb GS    2271
 PDE   2007   02 15 083140.03 -22.12  171.91  35 5.00 Mw CMT  11339
